Month,Avg_Close,Monthly_High,Monthly_Low,Total_Volume
1,118.19,458.34,1.49,31550192900
2,96.55,394.0,1.41,31081349800
3,86.82,371.59,1.45,33126962700
4,87.77,384.29,1.61,33301327500
5,85.97,367.71,1.7,34098767400
6,89.76,357.54,1.17,32770781100
7,94.71,338.0,1.0,33713328000
8,96.76,355.39,1.16,30732760700
9,106.71,450.98,1.3,28219403300
10,106.64,470.75,1.33,31656940900
11,112.43,474.07,1.4,29216497800
12,124.24,498.83,1.67,29131894100
